0	1	-78.78
1	0	-80.99
0	2	-79.97
2	0	-77.98
0	3	-83.37
3	0	-87.29
0	4	-86.34
4	0	-85.10
0	5	-85.65
5	0	-88.08
0	7	-76.89
7	0	-77.88
0	8	-86.76
8	0	-87.84
0	9	-58.86
9	0	-59.50
0	11	-84.69
11	0	-86.78
0	12	-82.28
12	0	-84.05
0	14	-85.26
14	0	-89.00
0	15	-86.03
15	0	-80.55
0	20	-81.25
20	0	-76.02
0	21	-82.84
21	0	-86.62
0	23	-77.17
23	0	-76.86
0	29	-85.42
29	0	-85.92
0	30	-77.25
30	0	-78.73
0	35	-86.37
35	0	-84.71
0	36	-86.02
36	0	-88.27
0	37	-82.73
37	0	-81.40
0	40	-85.53
40	0	-83.72
0	41	-80.39
41	0	-83.02
0	46	-66.05
46	0	-65.68
0	51	-76.06
51	0	-75.77
0	55	-84.78
55	0	-84.92
0	57	-89.27
57	0	-87.11
0	58	-85.63
58	0	-88.56
0	59	-87.47
59	0	-84.68
0	61	-87.65
61	0	-84.06
0	66	-87.22
66	0	-89.90
0	71	-88.16
71	0	-88.36
0	74	-89.06
74	0	-86.93
0	76	-86.64
76	0	-85.85
0	82	-82.56
82	0	-79.23
0	96	-61.22
96	0	-59.74
0	100	-55.60
100	0	-55.68
1	2	-67.39
2	1	-63.18
1	5	-80.50
5	1	-80.72
1	6	-79.74
6	1	-78.27
1	7	-75.99
7	1	-74.77
1	8	-85.36
8	1	-84.23
1	9	-81.47
9	1	-79.89
1	14	-80.72
14	1	-82.25
1	18	-82.18
18	1	-85.09
1	19	-83.33
19	1	-83.90
1	20	-85.37
20	1	-77.92
1	23	-79.51
23	1	-76.98
1	30	-84.37
30	1	-83.63
1	32	-85.39
32	1	-81.48
1	35	-86.88
35	1	-83.01
1	36	-84.94
36	1	-84.97
1	37	-85.30
37	1	-81.76
1	41	-80.14
41	1	-80.55
1	44	-86.59
44	1	-86.78
1	46	-80.62
46	1	-78.04
1	48	-83.94
48	1	-79.56
1	57	-82.87
57	1	-78.50
1	66	-84.88
66	1	-85.35
1	74	-86.11
74	1	-81.77
1	78	-85.74
78	1	-87.11
1	82	-87.98
82	1	-82.43
1	86	-81.93
86	1	-79.54
1	88	-85.33
88	1	-87.47
1	90	-88.33
90	1	-87.26
1	92	-83.23
92	1	-78.19
1	96	-81.84
96	1	-78.14
1	97	-89.50
97	1	-89.61
1	100	-82.49
100	1	-80.36
2	4	-88.02
4	2	-88.78
2	6	-80.61
6	2	-83.35
2	7	-84.15
7	2	-87.14
2	8	-68.52
8	2	-71.59
2	9	-77.31
9	2	-79.94
2	11	-68.91
11	2	-73.00
2	12	-85.71
12	2	-89.48
2	14	-62.03
14	2	-67.77
2	15	-88.80
15	2	-85.32
2	16	-80.60
16	2	-85.30
2	18	-80.68
18	2	-87.80
2	20	-86.75
20	2	-83.51
2	23	-85.22
23	2	-86.91
2	30	-84.37
30	2	-87.84
2	35	-71.01
35	2	-71.35
2	40	-89.67
40	2	-89.86
2	41	-51.59
41	2	-56.21
2	46	-80.03
46	2	-81.66
2	48	-75.63
48	2	-75.47
2	57	-87.48
57	2	-87.32
2	59	-88.77
59	2	-87.98
2	75	-86.40
75	2	-88.11
2	83	-82.08
83	2	-84.63
2	85	-77.69
85	2	-80.45
2	90	-84.78
90	2	-87.92
2	92	-83.72
92	2	-82.89
2	96	-80.10
96	2	-80.62
2	100	-76.65
100	2	-78.73
3	10	-86.60
10	3	-79.29
3	12	-71.67
12	3	-69.52
3	16	-87.51
16	3	-86.30
3	20	-75.95
20	3	-66.80
3	21	-80.76
21	3	-80.63
3	24	-80.60
24	3	-74.73
3	30	-80.02
30	3	-77.58
3	35	-89.68
35	3	-84.11
3	40	-67.82
40	3	-62.10
3	41	-88.87
41	3	-87.58
3	51	-80.16
51	3	-75.96
3	57	-75.77
57	3	-69.70
3	59	-87.19
59	3	-80.49
3	63	-82.13
63	3	-76.57
3	64	-85.58
64	3	-77.61
3	75	-84.08
75	3	-79.88
3	80	-80.51
80	3	-80.52
3	82	-86.18
82	3	-78.93
3	96	-84.04
96	3	-78.65
3	100	-79.90
100	3	-76.06
4	5	-83.46
5	4	-87.13
4	7	-84.91
7	4	-87.15
4	10	-83.84
10	4	-81.69
4	13	-77.87
13	4	-77.90
4	15	-87.86
15	4	-83.63
4	16	-82.01
16	4	-85.95
4	17	-79.10
17	4	-77.95
4	19	-79.21
19	4	-83.24
4	20	-85.41
20	4	-81.42
4	21	-83.31
21	4	-88.34
4	26	-81.82
26	4	-85.92
4	27	-85.55
27	4	-85.65
4	28	-81.60
28	4	-83.03
4	32	-73.90
32	4	-73.45
4	34	-82.25
34	4	-84.65
4	35	-86.68
35	4	-86.26
4	36	-77.66
36	4	-81.15
4	37	-86.44
37	4	-86.36
4	38	-63.82
38	4	-66.72
4	43	-89.15
43	4	-85.89
4	54	-83.60
54	4	-87.73
4	55	-78.35
55	4	-79.74
4	59	-71.12
59	4	-69.57
4	60	-82.98
60	4	-88.92
4	62	-85.74
62	4	-89.38
4	73	-67.86
73	4	-74.66
4	82	-80.16
82	4	-78.07
4	89	-87.01
89	4	-89.74
4	92	-89.53
92	4	-87.94
4	96	-87.33
96	4	-87.10
4	99	-82.20
99	4	-83.27
4	100	-84.73
100	4	-86.05
5	6	-81.34
6	5	-79.65
5	7	-73.28
7	5	-71.84
5	8	-85.51
8	5	-84.16
5	9	-87.73
9	5	-85.94
5	18	-77.20
18	5	-79.89
5	19	-76.04
19	5	-76.39
5	27	-86.81
27	5	-83.23
5	28	-83.51
28	5	-81.27
5	35	-88.92
35	5	-84.84
5	36	-77.92
36	5	-77.73
5	37	-72.36
37	5	-68.60
5	40	-86.19
40	5	-81.95
5	41	-87.62
41	5	-87.82
5	44	-85.67
44	5	-85.64
5	46	-80.34
46	5	-77.54
5	53	-75.19
53	5	-74.64
5	54	-79.02
54	5	-79.47
5	66	-85.05
66	5	-85.30
5	74	-87.96
74	5	-83.40
5	86	-74.61
86	5	-72.00
5	88	-78.14
88	5	-80.06
5	89	-85.79
89	5	-84.85
5	92	-77.22
92	5	-71.96
5	96	-86.13
96	5	-82.22
5	97	-89.72
97	5	-89.60
5	100	-82.98
100	5	-80.63
6	8	-85.71
8	6	-86.04
6	18	-72.81
18	6	-77.19
6	19	-75.75
19	6	-77.80
6	28	-88.50
28	6	-87.95
6	37	-84.60
37	6	-82.53
6	41	-85.40
41	6	-87.28
6	44	-79.11
44	6	-80.78
6	48	-84.86
48	6	-81.95
6	52	-88.59
52	6	-89.28
6	53	-78.31
53	6	-79.45
6	54	-80.27
54	6	-82.42
6	58	-86.83
58	6	-89.01
6	59	-89.14
59	6	-85.61
6	62	-81.19
62	6	-82.84
6	66	-81.35
66	6	-83.29
6	78	-86.18
78	6	-89.02
6	82	-88.13
82	6	-84.06
6	86	-64.41
86	6	-63.49
6	88	-80.41
88	6	-84.03
6	89	-84.86
89	6	-85.61
6	92	-85.23
92	6	-81.66
6	99	-84.86
99	6	-83.94
7	8	-85.55
8	7	-85.63
7	9	-75.50
9	7	-75.14
7	10	-78.26
10	7	-73.87
7	11	-84.67
11	7	-85.76
7	12	-79.75
12	7	-80.52
7	14	-81.17
14	7	-83.91
7	15	-71.59
15	7	-65.11
7	16	-87.63
16	7	-89.34
7	19	-88.19
19	7	-89.98
7	20	-83.67
20	7	-77.44
7	21	-82.92
21	7	-85.70
7	23	-79.44
23	7	-78.13
7	26	-74.98
26	7	-76.82
7	27	-85.92
27	7	-83.78
7	31	-76.39
31	7	-73.87
7	35	-84.50
35	7	-81.85
7	38	-89.08
38	7	-89.74
7	40	-88.53
40	7	-85.72
7	46	-78.98
46	7	-77.62
7	51	-84.97
51	7	-83.69
7	55	-88.74
55	7	-87.89
7	57	-84.35
57	7	-81.19
7	59	-78.59
59	7	-74.80
7	66	-88.10
66	7	-89.78
7	75	-87.83
75	7	-86.55
7	82	-60.58
82	7	-56.25
7	83	-86.06
83	7	-85.62
7	89	-88.72
89	7	-89.22
7	96	-62.57
96	7	-60.10
7	100	-79.14
